Symbol,2021-05-19,2021-05-18,2021-05-17,2021-05-14,2021-05-13,2021-05-12,2021-05-11,2021-05-10,2021-05-07,2021-05-06,2021-05-05,2021-05-04,2021-04-30,2021-04-29,2021-04-28,2021-04-27,2021-04-26,2021-04-23,2021-04-22,2021-04-21,2021-04-20,2021-04-19,2021-04-16,2021-04-15,2021-04-14,2021-04-13,2021-04-12,2021-04-09,2021-04-08,2021-04-07,2021-04-06,2021-04-01,2021-03-31,2021-03-30,2021-03-29,2021-03-26,2021-03-25,2021-03-24,2021-03-23,2021-03-22,2021-03-19,2021-03-18,2021-03-17,2021-03-16,2021-03-15,2021-03-12,2021-03-11,2021-03-10,2021-03-09,2021-03-08,2021-03-05,2021-03-04,2021-03-03,2021-03-02,2021-03-01,2021-02-26,2021-02-25,2021-02-24,2021-02-23,2021-02-22,2021-02-19,2021-02-18,2021-02-17,2021-02-16,2021-02-15,2021-02-12,2021-02-11,2021-02-10,2021-02-09,2021-02-08,2021-02-05,2021-02-04,2021-02-03,2021-02-02,2021-02-01,2021-01-29,2021-01-28,2021-01-27,2021-01-26,2021-01-25,2021-01-22,2021-01-21,2021-01-20,2021-01-19,2021-01-18,2021-01-15,2021-01-14,2021-01-13,2021-01-12,2021-01-11,2021-01-08,2021-01-07,2021-01-06,2021-01-05,2021-01-04
3IN.L,301.5,300.5,299.5,299.5,297.0,295.5,296.0,297.0,297.0,295.0,293.5,296.0,297.0,296.5,296.0,299.0,295.5,294.5,293.5,292.5,293.5,295.5,296.0,296.0,295.0,294.5,296.5,295.0,296.0,295.5,297.0,296.5,296.5,295.0,293.0,295.0,290.5,290.0,290.0,296.5,293.0,290.0,291.0,294.5,292.5,290.5,295.5,298.0,298.0,295.0,287.5,294.0,294.5,294.5,295.0,291.0,293.0,296.5,294.0,294.5,303.0,294.0,295.5,297.0,296.0,293.0,286.0,294.0,294.5,296.5,296.0,294.5,294.0,298.0,297.5,298.5,299.5,300.5,302.5,303.0,303.0,304.5,307.0,305.5,304.5,303.5,303.0,303.5,304.5,308.5,311.5,308.5,309.5,309.0,308.5
7DIG.L,1.275,1.275,1.275,1.25,1.25,1.25,1.175,1.25,1.3,1.3,1.35,1.325,1.3,1.275,1.225,1.225,1.225,1.275,1.275,1.3,1.275,1.35,1.4,1.4,1.4,1.425,1.375,1.375,1.325,1.35,1.375,1.375,1.4,1.4,1.4,1.4,1.35,1.4,1.45,1.5,1.55,1.45,1.55,1.355,1.45,1.575,1.65,1.275,1.275,1.325,1.325,1.425,1.45,1.45,1.425,1.35,1.35,1.425,1.425,1.425,1.425,1.425,1.5,1.525,1.575,1.55,1.575,1.575,1.575,1.575,1.6,1.725,1.65,1.65,1.425,1.425,1.375,1.425,1.5,1.5,1.55,1.65,1.65,1.7,1.95,1.655,1.575,1.55,1.35,1.35,1.225,1.225,1.2,1.225,1.225
888.L,385.200012,390.799988,387.799988,392.399994,391.600006,393.0,397.0,406.799988,417.200012,415.399994,423.200012,420.0,426.600006,431.600006,450.0,430.799988,426.600006,418.799988,413.0,411.799988,405.600006,408.0,405.0,409.799988,404.399994,406.600006,403.399994,408.0,407.600006,407.600006,409.0,399.799988,395.0,400.5,404.5,401.0,390.0,394.0,378.0,369.0,352.5,348.5,333.5,331.5,320.5,317.5,317.0,316.5,322.0,317.0,312.0,318.0,317.0,302.0,303.0,297.0,303.5,300.0,293.5,290.5,295.0,300.5,310.0,315.0,318.0,311.5,312.5,316.0,315.0,313.0,310.5,304.0,306.5,306.5,302.5,302.0,303.5,304.5,307.0,304.0,309.5,310.0,310.0,312.0,310.0,305.0,299.0,303.0,305.0,304.5,304.5,310.0,315.0,310.0,295.5
88E.L,1.325,1.29,1.294,1.3,1.252,1.325,1.3,1.45,1.41,1.46,1.35,1.4,1.49,1.4,1.5,1.48,1.208,1.04,1.06,1.08,1.2,1.28,1.31,1.252,1.3,1.44,1.58,1.38,1.696,1.55,1.13,3.75,4.05,2.8,2.25,1.75,1.65,1.5,1.35,1.5,1.11,1.04,1.1,1.15,1.3,0.82,0.5,0.49,0.51,0.54,0.56,0.555,0.55,0.49,0.47,0.465,0.47,0.46,0.46,0.475,0.485,0.465,0.465,0.47,0.49,0.48,0.475,0.465,0.56,0.545,0.545,0.555,0.555,0.545,0.56,0.48,0.49,0.512,0.42,0.44,0.446,0.6,0.555,0.57,0.57,0.585,0.605,0.625,0.62,0.651,0.55,0.53,0.51,0.485,0.5
AAF.L,78.650002,78.849998,78.949997,80.400002,79.150002,80.150002,77.900002,78.0,81.300003,78.900002,78.0,77.0,76.0,74.150002,74.5,74.550003,75.900002,75.0,73.5,73.050003,71.400002,75.0,75.0,75.5,74.550003,84.800003,84.099998,82.800003,84.699997,82.900002,82.25,81.050003,79.300003,79.699997,79.0,80.400002,79.0,81.0,81.400002,84.199997,87.599998,87.0,84.0,82.199997,79.800003,79.300003,79.400002,81.300003,80.0,77.699997,77.900002,78.199997,79.199997,80.199997,80.199997,79.699997,78.400002,76.5,75.900002,76.099998,76.0,77.099998,77.400002,80.0,80.0,78.0,77.699997,78.599998,77.300003,80.0,79.0,81.5,83.0,81.699997,82.300003,79.5,79.599998,80.0,79.300003,74.599998,77.199997,74.599998,77.0,76.199997,78.699997,78.699997,80.5,75.5,76.400002,77.599998,78.199997,79.699997,80.300003,77.599998,74.400002
AAIF.L,220.5,221.5,219.0,224.5,221.0,222.0,227.0,229.0,230.5,228.0,230.0,227.5,231.0,231.0,232.5,233.5,232.0,232.0,236.0,232.5,232.0,232.0,234.0,235.0,233.0,233.0,229.0,231.0,229.0,229.5,230.0,227.0,227.0,225.5,224.0,223.0,221.0,222.5,221.0,225.0,224.0,226.0,225.0,226.0,225.5,225.0,228.0,226.0,226.0,226.5,224.0,226.0,227.0,227.0,225.5,225.0,226.0,223.5,227.5,228.0,227.0,228.0,230.0,230.0,232.5,229.0,230.0,231.0,229.5,230.0,230.0,223.0,226.5,226.0,221.0,220.0,226.0,228.5,230.0,232.0,231.0,235.0,234.0,237.0,232.5,231.0,233.0,234.0,237.0,234.0,234.0,229.0,230.0,230.0,225.0
AAL.L,3154.0,3310.0,3297.5,3266.5,3250.5,3401.0,3394.5,3408.5,3381.5,3265.5,3270.5,3077.0,3070.0,3141.5,3174.0,3169.5,3201.0,3132.0,3094.0,3068.5,3067.0,3186.5,3199.5,3149.5,3143.5,3051.0,3029.0,3083.0,3084.0,2988.0,2963.5,2898.5,2842.5,2869.5,2808.0,2843.5,2726.0,2783.0,2721.0,2781.0,2804.5,2902.5,2889.5,3008.0,2997.0,3017.5,2989.5,2857.0,2885.5,3018.5,2913.5,2887.0,2985.0,2957.5,2898.0,2772.5,2953.5,2841.5,2800.5,2807.0,2870.0,2765.0,2779.5,2818.5,2793.0,2663.0,2663.5,2713.0,2590.0,2581.0,2484.0,2416.0,2440.5,2429.0,2491.5,2414.0,2446.0,2354.5,2510.5,2515.0,2627.5,2668.0,2675.0,2626.0,2675.0,2663.5,2813.0,2725.5,2734.0,2758.5,2823.0,2819.0,2756.5,2587.0,2572.0
AAS.L,1235.0,1250.0,1230.0,1235.0,1215.0,1235.0,1245.0,1280.0,1285.0,1280.0,1285.0,1280.0,1285.0,1330.0,1310.0,1310.0,1310.0,1290.0,1312.5,1310.0,1310.0,1310.0,1300.0,1305.0,1290.0,1295.0,1290.0,1280.0,1275.0,1270.0,1262.5,1265.0,1250.0,1262.5,1247.5,1257.5,1230.0,1227.5,1230.0,1245.0,1255.0,1250.0,1240.0,1245.0,1230.0,1215.0,1250.0,1225.0,1212.5,1215.0,1225.0,1220.0,1235.0,1220.0,1210.0,1180.0,1210.0,1195.0,1185.0,1217.5,1225.0,1237.5,1247.5,1245.0,1240.0,1260.0,1255.0,1242.5,1225.0,1255.0,1240.0,1200.0,1240.0,1220.0,1190.0,1175.0,1200.0,1210.0,1230.0,1230.0,1195.0,1230.0,1190.0,1250.0,1220.0,1200.0,1240.0,1225.0,1235.0,1230.0,1240.0,1210.0,1190.0,1185.0,1170.0
AAU.L,5.0,5.3,5.0,4.9,4.9,5.15,5.15,5.15,5.2,5.15,5.05,5.1,5.05,5.28,4.85,4.85,5.0,4.85,4.8,4.75,4.8,4.8,4.75,4.7,4.75,4.75,4.6,4.6,4.5,4.4,4.4,4.35,4.3,4.45,4.575,4.7,4.7,4.7,4.75,4.8,4.85,4.75,4.7,4.6,4.55,4.45,4.35,4.2,4.35,4.25,4.3,4.25,4.5,4.5,4.4,4.4,4.5,4.55,4.4,4.7,4.55,4.55,4.75,4.4,4.5,4.625,4.75,4.8,4.83,4.55,4.4,4.5,4.6,4.75,4.85,4.8,4.725,4.65,4.6,4.8,4.9,5.0,5.05,5.05,5.1,5.2,5.2,5.2,5.2,5.2,5.2,5.1,5.05,5.25,5.35
AAZ.L,143.0,144.0,142.5,141.5,142.5,144.0,140.0,142.0,141.5,136.0,132.0,134.5,132.0,134.5,138.0,133.0,138.0,139.5,135.5,140.0,125.0,130.0,128.0,122.5,134.0,140.0,137.5,138.0,140.5,142.0,147.0,141.0,135.0,140.0,141.5,143.0,141.0,148.0,148.0,147.0,151.0,151.0,150.5,150.0,144.5,143.0,143.0,143.0,137.0,133.5,132.5,132.0,136.0,141.0,146.0,147.5,150.0,150.0,153.0,152.5,148.0,142.0,141.5,145.0,144.5,150.0,154.0,160.0,160.0,155.5,160.0,151.0,156.5,152.0,153.5,157.0,162.5,165.0,177.0,177.0,161.0,152.0,130.0,127.0,123.5,125.0,130.0,127.5,127.0,125.5,128.0,134.0,133.5,138.0,135.0
